Account,Payment Method,Maintenance,Churn,Points Used,Monthly Charges,Points,Tenure,Contract,Insurance,Month of Churn,Profit
933,Electronic Check,No,Yes,0,1800000,14000,2,Month-to-month,No,October,0
934,Credit Card,Yes,Yes,0,1000000,14000,45,One year,No,October,0
935,Electronic Check,No,Yes,0,1100000,12000,13,Month-to-month,No,October,0
936,Electronic Check,No,Yes,0,1500000,13000,1,Month-to-month,No,October,0
937,Electronic Check,No,Yes,0,1300000,3000,6,Month-to-month,No,October,0
938,Electronic Check,Yes,Yes,0,1400000,3000,62,One year,No,October,0
939,Electronic Check,No,Yes,0,1300000,1000,69,Month-to-month,No,October,0
940,Electronic Check,No,Yes,0,1100000,14000,2,Month-to-month,No,October,0
941,Credit Card,No,Yes,0,1000000,10000,19,Month-to-month,No,October,0
942,Credit Card,No,Yes,0,900000,1000,1,Month-to-month,No,October,0
943,Electronic Check,No,Yes,0,700000,10000,19,Month-to-month,No,October,0
944,Electronic Check,No,Yes,0,800000,11000,3,Month-to-month,No,October,0
945,Credit Card,No,Yes,0,1600000,7000,29,Month-to-month,No,October,0
946,Mailed Check,No,Yes,0,800000,3000,7,Month-to-month,No,October,0
947,Mailed Check,No,Yes,0,1700000,10000,13,Month-to-month,No,October,0
948,Bank Transfer,Yes,Yes,0,1400000,9000,9,One year,No,October,0
949,Electronic Check,Yes,Yes,0,1700000,10000,31,One year,No,October,0
950,Electronic Check,Yes,Yes,0,1300000,3000,70,One year,No,October,0
951,Electronic Check,No,Yes,0,800000,7000,1,Month-to-month,No,October,0
952,Electronic Check,No,Yes,0,700000,6000,11,Month-to-month,No,October,0
953,Electronic Check,No,Yes,0,1500000,3000,2,Month-to-month,No,October,0
954,Bank Transfer,Yes,Yes,0,1200000,11000,57,One year,No,October,0
955,Electronic Check,No,Yes,0,800000,13000,3,Month-to-month,No,October,0
956,Bank Transfer,No,Yes,0,1900000,13000,4,Month-to-month,No,October,0
957,Mailed Check,No,Yes,0,1400000,10000,20,Month-to-month,No,October,0
958,Electronic Check,No,Yes,0,1500000,5000,12,Month-to-month,No,October,0
959,Bank Transfer,No,Yes,0,1100000,11000,12,Month-to-month,No,October,0
960,Mailed Check,No,Yes,0,1200000,12000,1,Month-to-month,No,October,0
961,Bank Transfer,No,Yes,0,1900000,12000,1,Month-to-month,No,October,0
962,Electronic Check,No,Yes,0,1200000,6000,12,Month-to-month,No,October,0
963,Electronic Check,No,Yes,0,1900000,5000,22,Month-to-month,No,October,0
964,Credit Card,No,Yes,0,700000,5000,16,Month-to-month,No,October,0
965,Bank Transfer,No,Yes,0,900000,3000,6,Month-to-month,No,October,0
966,Electronic Check,No,Yes,0,1900000,1000,1,Month-to-month,No,October,0
967,Mailed Check,No,Yes,0,1600000,6000,7,Month-to-month,No,October,0
968,Credit Card,No,Yes,0,900000,7000,66,Month-to-month,No,October,0
969,Electronic Check,No,Yes,0,1900000,13000,22,Month-to-month,No,October,0
970,Bank Transfer,No,Yes,0,900000,12000,59,Month-to-month,No,October,0
971,Electronic Check,No,Yes,0,1500000,4000,1,Month-to-month,No,October,0
972,Credit Card,No,Yes,0,1800000,14000,15,Month-to-month,No,October,0
973,Credit Card,Yes,Yes,0,1500000,7000,18,One year,No,October,0
974,Electronic Check,No,Yes,0,900000,11000,54,Month-to-month,No,October,0
975,Electronic Check,No,Yes,0,1500000,7000,60,Month-to-month,No,October,0
976,Electronic Check,No,Yes,0,1900000,9000,3,Month-to-month,No,October,0
977,Mailed Check,No,Yes,0,700000,2000,3,Month-to-month,No,October,0
978,Mailed Check,No,Yes,0,1800000,2000,5,Month-to-month,No,October,0
979,Electronic Check,No,Yes,0,1400000,8000,1,Month-to-month,No,October,0
980,Electronic Check,Yes,Yes,0,1000000,3000,67,One year,No,October,0
981,Electronic Check,No,Yes,0,1800000,7000,1,Month-to-month,No,October,0
982,Electronic Check,Yes,Yes,0,1100000,14000,55,One year,No,October,0
983,Credit Card,No,Yes,0,1200000,3000,6,Month-to-month,No,October,0
984,Mailed Check,No,Yes,0,1200000,11000,1,Month-to-month,No,October,0
985,Electronic Check,No,Yes,0,1200000,6000,10,Month-to-month,No,October,0
986,Bank Transfer,No,Yes,0,1400000,7000,15,Month-to-month,No,October,0
987,Credit Card,No,Yes,0,1200000,5000,30,Month-to-month,No,October,0
988,Electronic Check,No,Yes,0,1000000,6000,1,Month-to-month,No,October,0
989,Electronic Check,No,Yes,0,1100000,7000,25,Month-to-month,No,October,0
990,Electronic Check,No,Yes,0,1000000,3000,5,Month-to-month,No,October,0
991,Electronic Check,No,Yes,0,1500000,4000,47,Month-to-month,No,October,0
992,Bank Transfer,Yes,Yes,0,1200000,12000,49,One year,No,October,0
993,Electronic Check,No,Yes,0,1500000,5000,27,Month-to-month,No,October,0
994,Credit Card,No,Yes,0,1300000,4000,2,Month-to-month,No,October,0
995,Electronic Check,No,Yes,0,700000,9000,23,Month-to-month,No,October,0
996,Electronic Check,No,Yes,0,1100000,8000,63,Month-to-month,No,October,0
997,Electronic Check,No,Yes,0,1500000,8000,20,Month-to-month,No,October,0
998,Credit Card,No,Yes,0,1900000,11000,49,Month-to-month,No,October,0
999,Electronic Check,No,Yes,0,900000,2000,5,Month-to-month,No,October,0
1000,Bank Transfer,No,Yes,0,1600000,8000,7,Month-to-month,No,October,0
1001,Electronic Check,No,Yes,0,1300000,6000,2,Month-to-month,No,October,0
1002,Mailed Check,No,Yes,0,900000,2000,10,Month-to-month,No,October,0
1003,Electronic Check,Yes,Yes,0,1800000,8000,72,One year,No,October,0
1004,Credit Card,No,Yes,0,1500000,7000,10,Month-to-month,No,October,0
1005,Electronic Check,No,Yes,0,1000000,12000,45,Month-to-month,No,October,0
1006,Electronic Check,No,Yes,0,1700000,5000,2,Month-to-month,No,October,0
1007,Electronic Check,No,Yes,0,900000,2000,9,Month-to-month,No,October,0
1008,Credit Card,No,Yes,0,1000000,9000,3,Month-to-month,No,October,0
1009,Electronic Check,No,Yes,0,700000,6000,3,Month-to-month,No,October,0
1010,Mailed Check,No,Yes,0,1700000,4000,43,Month-to-month,No,October,0
1011,Electronic Check,No,Yes,0,700000,1000,31,Month-to-month,No,October,0
1012,Credit Card,No,Yes,0,1500000,12000,32,Month-to-month,No,October,0
1013,Mailed Check,No,Yes,0,1600000,8000,23,Month-to-month,No,October,0
1014,Bank Transfer,No,Yes,0,1500000,5000,10,Month-to-month,No,October,0
1015,Electronic Check,No,Yes,0,1100000,2000,4,Month-to-month,No,October,0
1016,Electronic Check,No,Yes,0,1300000,2000,12,Month-to-month,No,October,0
1017,Electronic Check,No,Yes,0,900000,1000,3,Month-to-month,No,October,0
1018,Electronic Check,No,Yes,0,1200000,4000,8,Month-to-month,No,October,0
1019,Bank Transfer,No,Yes,0,700000,1000,2,Month-to-month,No,October,0
1020,Bank Transfer,No,Yes,0,1100000,14000,37,Month-to-month,No,October,0
1021,Credit Card,No,Yes,0,1600000,12000,10,Month-to-month,No,October,0
1022,Electronic Check,No,Yes,0,1200000,8000,2,Month-to-month,No,October,0
1023,Mailed Check,No,Yes,0,1700000,9000,9,Month-to-month,No,October,0
1024,Credit Card,No,Yes,0,1700000,7000,28,Month-to-month,No,October,0
1025,Electronic Check,No,Yes,0,1500000,7000,6,Month-to-month,No,October,0
1026,Credit Card,No,Yes,0,1800000,10000,71,Month-to-month,No,October,0
1027,Mailed Check,No,Yes,0,1400000,13000,1,Month-to-month,No,October,0
1028,Bank Transfer,No,Yes,0,1300000,6000,2,Month-to-month,No,October,0
1029,Bank Transfer,No,Yes,0,1100000,9000,2,Month-to-month,No,October,0
1030,Credit Card,No,Yes,0,1200000,3000,2,Month-to-month,No,October,0
1031,Electronic Check,No,Yes,0,1200000,4000,22,Month-to-month,No,October,0
1032,Electronic Check,No,Yes,0,1500000,9000,8,Month-to-month,No,October,0
1033,Mailed Check,No,Yes,0,1500000,13000,7,Month-to-month,No,October,0
1034,Credit Card,Yes,Yes,0,800000,3000,70,One year,No,October,0
1035,Electronic Check,Yes,Yes,0,1600000,7000,66,One year,No,October,0
1036,Electronic Check,Yes,Yes,0,1700000,7000,60,One year,No,October,0
1037,Electronic Check,No,Yes,0,1500000,1000,1,Month-to-month,No,October,0
1038,Mailed Check,No,Yes,0,1600000,4000,3,Month-to-month,No,October,0
1039,Electronic Check,No,Yes,0,1400000,9000,29,Month-to-month,No,October,0
1040,Electronic Check,No,Yes,0,1600000,2000,13,Month-to-month,No,October,0
1041,Mailed Check,No,Yes,0,1900000,8000,5,Month-to-month,No,October,0
1042,Electronic Check,No,Yes,0,1800000,10000,4,Month-to-month,No,October,0
1043,Electronic Check,No,Yes,0,1100000,5000,18,Month-to-month,No,October,0
1044,Credit Card,Yes,Yes,0,1500000,10000,38,One year,No,October,0
1045,Electronic Check,No,Yes,0,1000000,6000,1,Month-to-month,No,October,0
1046,Electronic Check,No,Yes,0,900000,14000,4,Month-to-month,No,October,0
1047,Mailed Check,No,Yes,0,1700000,9000,31,Month-to-month,No,October,0
1048,Electronic Check,No,Yes,0,1200000,9000,14,Month-to-month,No,October,0
1049,Credit Card,No,Yes,0,1700000,6000,3,Month-to-month,No,October,0
1050,Mailed Check,No,Yes,0,700000,10000,1,Month-to-month,No,October,0
1051,Electronic Check,No,Yes,0,1300000,5000,25,Month-to-month,No,October,0
1052,Credit Card,No,Yes,0,800000,10000,7,Month-to-month,No,October,0
1053,Electronic Check,No,Yes,0,1700000,6000,6,Month-to-month,No,October,0
1054,Electronic Check,No,Yes,0,1200000,9000,1,Month-to-month,No,October,0
1055,Electronic Check,No,Yes,0,1700000,1000,35,Month-to-month,No,October,0
1056,Electronic Check,No,Yes,0,1900000,1000,36,Month-to-month,No,October,0
1057,Mailed Check,No,Yes,0,1000000,2000,1,Month-to-month,No,October,0
1058,Electronic Check,No,Yes,0,700000,3000,21,Month-to-month,No,October,0
1059,Bank Transfer,No,Yes,0,1300000,13000,7,Month-to-month,No,November,0
1060,Mailed Check,Yes,Yes,0,1100000,3000,48,One year,No,November,0
1061,Mailed Check,Yes,Yes,0,1500000,1000,8,One year,No,November,0
1062,Mailed Check,No,Yes,0,1800000,14000,1,Month-to-month,No,November,0
1063,Electronic Check,Yes,Yes,0,1900000,9000,53,One year,No,November,0
1064,Electronic Check,No,Yes,0,1900000,4000,52,Month-to-month,No,November,0
1065,Credit Card,No,Yes,0,1100000,1000,4,Month-to-month,No,November,0
1066,Mailed Check,No,Yes,0,1400000,4000,1,Month-to-month,No,November,0
1067,Electronic Check,No,Yes,0,1000000,10000,1,Month-to-month,No,November,0
1068,Electronic Check,No,Yes,0,1700000,14000,12,Month-to-month,No,November,0
1069,Electronic Check,No,Yes,0,800000,7000,8,Month-to-month,No,November,0
1070,Electronic Check,No,Yes,0,700000,11000,26,Month-to-month,No,November,0
1071,Electronic Check,No,Yes,0,1800000,3000,20,Month-to-month,No,November,0
1072,Mailed Check,No,Yes,0,1200000,3000,2,Month-to-month,No,November,0
1073,Electronic Check,No,Yes,0,1000000,3000,4,Month-to-month,No,November,0
1074,Credit Card,No,Yes,0,1800000,1000,14,Month-to-month,No,November,0
1075,Mailed Check,No,Yes,0,1700000,3000,3,Month-to-month,No,November,0
1076,Electronic Check,No,Yes,0,700000,8000,51,Month-to-month,No,November,0
1077,Bank Transfer,No,Yes,0,900000,12000,25,Month-to-month,No,November,0
1078,Electronic Check,No,Yes,0,1400000,10000,3,Month-to-month,No,November,0
1079,Credit Card,No,Yes,0,1600000,11000,2,Month-to-month,No,November,0
1080,Electronic Check,No,Yes,0,1800000,10000,1,Month-to-month,No,November,0
1081,Electronic Check,No,Yes,0,1600000,2000,61,Month-to-month,No,November,0
1082,Electronic Check,No,Yes,0,1500000,6000,11,Month-to-month,No,November,0
1083,Electronic Check,No,Yes,0,1200000,3000,54,Month-to-month,No,November,0
1084,Mailed Check,No,Yes,0,700000,5000,2,Month-to-month,No,November,0
1085,Electronic Check,No,Yes,0,700000,8000,10,Month-to-month,No,November,0
1086,Electronic Check,No,Yes,0,1900000,14000,9,Month-to-month,No,November,0
1087,Electronic Check,No,Yes,0,1800000,6000,1,Month-to-month,No,November,0
1088,Electronic Check,No,Yes,0,1400000,5000,51,Month-to-month,No,November,0
1089,Electronic Check,No,Yes,0,1100000,13000,3,Month-to-month,No,November,0
1090,Bank Transfer,No,Yes,0,1900000,7000,14,Month-to-month,No,November,0
1091,Mailed Check,No,Yes,0,1500000,4000,1,Month-to-month,No,November,0
1092,Credit Card,No,Yes,0,1300000,4000,33,Month-to-month,No,November,0
1093,Credit Card,No,Yes,0,1900000,11000,24,Month-to-month,No,November,0
1094,Bank Transfer,No,Yes,0,800000,7000,6,Month-to-month,No,November,0
1095,Mailed Check,No,Yes,0,1400000,5000,1,Month-to-month,No,November,0
1096,Electronic Check,No,Yes,0,1100000,9000,4,Month-to-month,No,November,0
1097,Electronic Check,No,Yes,0,1200000,6000,9,Month-to-month,No,November,0
1098,Bank Transfer,No,Yes,0,1300000,13000,15,Month-to-month,No,November,0
1099,Electronic Check,Yes,Yes,0,1200000,11000,63,One year,No,November,0
1100,Electronic Check,No,Yes,0,1900000,4000,14,Month-to-month,No,November,0
1101,Electronic Check,No,Yes,0,1400000,6000,18,Month-to-month,No,November,0
1102,Electronic Check,No,Yes,0,900000,8000,4,Month-to-month,No,November,0
1103,Electronic Check,No,Yes,0,1600000,6000,5,Month-to-month,No,November,0
1104,Electronic Check,No,Yes,0,1500000,5000,16,Month-to-month,No,November,0
1105,Mailed Check,No,Yes,0,1600000,7000,2,Month-to-month,No,November,0
1106,Electronic Check,No,Yes,0,1500000,7000,12,Month-to-month,No,November,0
1107,Bank Transfer,No,Yes,0,1700000,14000,1,Month-to-month,No,November,0
1108,Electronic Check,No,Yes,0,700000,10000,16,Month-to-month,No,November,0
1109,Credit Card,No,Yes,0,700000,3000,11,Month-to-month,No,November,0
1110,Electronic Check,No,Yes,0,1000000,2000,11,Month-to-month,No,November,0
1111,Electronic Check,No,Yes,0,1900000,11000,1,Month-to-month,No,November,0
1112,Electronic Check,No,Yes,0,1100000,7000,9,Month-to-month,No,November,0
1113,Electronic Check,No,Yes,0,1900000,7000,43,Month-to-month,No,November,0
1114,Bank Transfer,No,Yes,0,1200000,11000,1,Month-to-month,No,November,0
1115,Electronic Check,No,Yes,0,1100000,1000,1,Month-to-month,No,November,0
1116,Electronic Check,No,Yes,0,800000,10000,12,Month-to-month,No,November,0
1117,Electronic Check,No,Yes,0,800000,11000,13,Month-to-month,No,November,0
1118,Mailed Check,No,Yes,0,1300000,7000,1,Month-to-month,No,November,0
1119,Electronic Check,No,Yes,0,1200000,4000,42,Month-to-month,No,November,0
1120,Electronic Check,No,Yes,0,1300000,9000,1,Month-to-month,No,November,0
1121,Credit Card,No,Yes,0,1300000,11000,49,Month-to-month,No,November,0
1122,Electronic Check,No,Yes,0,1000000,7000,28,Month-to-month,No,November,0
1123,Electronic Check,No,Yes,0,700000,5000,13,Month-to-month,No,November,0
1124,Electronic Check,No,Yes,0,1500000,2000,3,Month-to-month,No,November,0
1125,Mailed Check,Yes,Yes,0,1300000,5000,48,One year,No,November,0
1126,Electronic Check,No,Yes,0,1700000,8000,4,Month-to-month,No,November,0
1127,Electronic Check,No,Yes,0,1100000,1000,1,Month-to-month,No,November,0
1128,Mailed Check,No,Yes,0,1500000,1000,1,Month-to-month,No,November,0
1129,Electronic Check,No,Yes,0,900000,13000,1,Month-to-month,No,November,0
1130,Mailed Check,No,Yes,0,1900000,3000,9,Month-to-month,No,November,0
1131,Mailed Check,No,Yes,0,800000,5000,1,Month-to-month,No,November,0
1132,Mailed Check,No,Yes,0,1100000,13000,1,Month-to-month,No,November,0
1133,Electronic Check,Yes,Yes,0,1000000,8000,58,One year,No,November,0
1134,Credit Card,No,Yes,0,1800000,12000,31,Month-to-month,No,November,0
1135,Credit Card,No,Yes,0,1700000,4000,69,Month-to-month,No,November,0
1136,Electronic Check,No,Yes,0,1100000,13000,34,Month-to-month,No,November,0
1137,Electronic Check,No,Yes,0,800000,10000,1,Month-to-month,No,November,0
1138,Bank Transfer,Yes,Yes,0,800000,8000,25,One year,No,November,0
1139,Electronic Check,No,Yes,0,1400000,9000,3,Month-to-month,No,November,0
1140,Credit Card,Yes,Yes,0,1700000,13000,38,One year,No,November,0
1141,Credit Card,No,Yes,0,800000,10000,14,Month-to-month,No,November,0
1142,Electronic Check,No,Yes,0,1500000,6000,1,Month-to-month,No,November,0
1143,Electronic Check,No,Yes,0,1300000,13000,1,Month-to-month,No,November,0
1144,Electronic Check,No,Yes,0,900000,11000,3,Month-to-month,No,November,0
1145,Bank Transfer,No,Yes,0,1500000,6000,11,Month-to-month,No,November,0
1146,Electronic Check,Yes,Yes,0,1700000,4000,58,One year,No,November,0
1147,Bank Transfer,No,Yes,0,1300000,9000,12,Month-to-month,No,November,0
1148,Mailed Check,No,Yes,0,1300000,9000,1,Month-to-month,No,November,0
1149,Bank Transfer,Yes,Yes,0,1300000,13000,72,Two years,Yes,November,0
1150,Bank Transfer,No,Yes,0,1200000,6000,26,Month-to-month,No,November,0
1151,Electronic Check,Yes,Yes,0,1000000,13000,71,Two years,Yes,November,0
1152,Electronic Check,No,Yes,0,1400000,2000,9,Month-to-month,No,November,0
1153,Electronic Check,Yes,Yes,0,1600000,8000,67,One year,No,November,0
1154,Bank Transfer,No,Yes,0,1800000,6000,6,Month-to-month,No,November,0
1155,Electronic Check,Yes,Yes,0,900000,2000,65,One year,No,November,0
1156,Bank Transfer,No,Yes,0,900000,6000,15,Month-to-month,No,November,0
1157,Credit Card,No,Yes,0,2000000,7000,24,Month-to-month,No,November,0
1158,Mailed Check,No,Yes,0,1400000,4000,1,Month-to-month,No,November,0
1159,Electronic Check,No,Yes,0,900000,12000,1,Month-to-month,No,November,0
1160,Mailed Check,No,Yes,0,1800000,1000,39,Month-to-month,No,November,0
1161,Mailed Check,No,Yes,0,1500000,3000,15,Month-to-month,No,November,0
1162,Electronic Check,No,Yes,0,1700000,13000,7,Month-to-month,No,November,0
1163,Mailed Check,No,Yes,0,1400000,3000,1,Month-to-month,No,November,0
1164,Mailed Check,No,Yes,0,700000,14000,9,Month-to-month,No,November,0
1165,Electronic Check,No,Yes,0,1000000,1000,9,Month-to-month,No,November,0
1166,Credit Card,No,Yes,0,800000,3000,12,Month-to-month,No,November,0
1167,Electronic Check,No,Yes,0,900000,3000,35,Month-to-month,No,November,0
1168,Electronic Check,No,Yes,0,800000,13000,65,Month-to-month,No,November,0
1169,Credit Card,No,Yes,0,800000,12000,18,Month-to-month,No,November,0
1170,Electronic Check,Yes,Yes,0,700000,8000,51,One year,No,November,0
1171,Mailed Check,Yes,Yes,0,1300000,12000,14,One year,No,November,0
1172,Electronic Check,No,Yes,0,800000,10000,49,Month-to-month,No,November,0
1173,Electronic Check,No,Yes,0,1500000,4000,20,Month-to-month,No,November,0
1174,Electronic Check,No,Yes,0,900000,1000,9,Month-to-month,No,November,0
1175,Bank Transfer,No,Yes,0,1400000,11000,41,Month-to-month,No,November,0
1176,Electronic Check,No,Yes,0,1400000,11000,68,Month-to-month,No,November,0
1177,Mailed Check,No,Yes,0,700000,1000,4,Month-to-month,No,November,0
1178,Credit Card,No,Yes,0,1400000,12000,6,Month-to-month,No,November,0
1179,Electronic Check,No,Yes,0,1700000,2000,8,Month-to-month,No,November,0
1180,Electronic Check,No,Yes,0,1700000,1000,8,Month-to-month,No,November,0
1181,Electronic Check,No,Yes,0,1000000,2000,4,Month-to-month,No,November,0
1182,Bank Transfer,No,Yes,0,700000,10000,65,Month-to-month,No,November,0
1183,Electronic Check,No,Yes,0,1400000,12000,22,Month-to-month,No,November,0
1184,Electronic Check,Yes,Yes,0,1800000,9000,50,One year,No,November,0
1185,Bank Transfer,No,Yes,0,900000,13000,4,Month-to-month,No,November,0
1186,Mailed Check,No,Yes,0,1200000,8000,4,Month-to-month,No,November,0
1187,Electronic Check,No,Yes,0,1700000,4000,4,Month-to-month,No,November,0
1188,Electronic Check,No,Yes,0,1100000,1000,6,Month-to-month,No,November,0
1189,Mailed Check,Yes,Yes,0,1400000,8000,49,One year,No,November,0
1190,Mailed Check,No,Yes,0,1900000,11000,4,Month-to-month,No,November,0
1191,Electronic Check,No,Yes,0,1500000,5000,6,Month-to-month,No,November,0
1192,Mailed Check,No,Yes,0,1200000,6000,2,Month-to-month,No,November,0
1193,Mailed Check,No,Yes,0,2000000,12000,1,Month-to-month,No,November,0
1194,Mailed Check,No,Yes,0,1800000,2000,10,Month-to-month,No,November,0
1195,Electronic Check,No,Yes,0,1900000,9000,19,Month-to-month,No,November,0
1196,Bank Transfer,No,Yes,0,1800000,6000,12,Month-to-month,No,November,0
1197,Electronic Check,No,Yes,0,1400000,1000,1,Month-to-month,No,November,0
1198,Mailed Check,Yes,Yes,0,1100000,2000,44,One year,No,November,0
1199,Electronic Check,No,Yes,0,1000000,14000,8,Month-to-month,No,November,0
1200,Bank Transfer,No,Yes,0,1500000,6000,49,Month-to-month,No,November,0
1201,Electronic Check,No,Yes,0,1100000,11000,1,Month-to-month,No,November,0
1202,Credit Card,No,Yes,0,1700000,10000,1,Month-to-month,No,November,0
1203,Electronic Check,No,Yes,0,1200000,6000,5,Month-to-month,No,November,0
1204,Credit Card,No,Yes,0,1300000,10000,31,Month-to-month,No,November,0
1205,Mailed Check,No,Yes,0,1500000,1000,5,Month-to-month,No,November,0
1206,Credit Card,No,Yes,0,1300000,4000,8,Month-to-month,No,November,0
1207,Electronic Check,No,Yes,0,1300000,10000,1,Month-to-month,No,December,0
1208,Electronic Check,No,Yes,0,1200000,7000,8,Month-to-month,No,December,0
1209,Credit Card,No,Yes,0,700000,6000,1,Month-to-month,No,December,0
1210,Electronic Check,Yes,Yes,0,1600000,13000,39,One year,No,December,0
1211,Mailed Check,No,Yes,0,1200000,10000,15,Month-to-month,No,December,0
1212,Electronic Check,No,Yes,0,1500000,14000,5,Month-to-month,No,December,0
1213,Bank Transfer,Yes,Yes,0,1600000,10000,71,Two years,Yes,December,0
1214,Electronic Check,No,Yes,0,800000,8000,7,Month-to-month,No,December,0
1215,Credit Card,No,Yes,0,1600000,9000,16,Month-to-month,No,December,0
1216,Electronic Check,No,Yes,0,800000,6000,21,Month-to-month,No,December,0
1217,Bank Transfer,No,Yes,0,1000000,3000,39,Month-to-month,No,December,0
1218,Electronic Check,No,Yes,0,700000,3000,6,Month-to-month,No,December,0
1219,Bank Transfer,No,Yes,0,1900000,7000,1,Month-to-month,No,December,0
1220,Electronic Check,No,Yes,0,1300000,13000,19,Month-to-month,No,December,0
1221,Mailed Check,No,Yes,0,900000,4000,1,Month-to-month,No,December,0
1222,Electronic Check,No,Yes,0,1300000,6000,3,Month-to-month,No,December,0
1223,Electronic Check,No,Yes,0,1800000,5000,5,Month-to-month,No,December,0
1224,Mailed Check,No,Yes,0,1300000,10000,22,Month-to-month,No,December,0
1225,Mailed Check,No,Yes,0,1100000,12000,1,Month-to-month,No,December,0
1226,Bank Transfer,No,Yes,0,800000,13000,27,Month-to-month,No,December,0
1227,Electronic Check,No,Yes,0,1400000,10000,43,Month-to-month,No,December,0
1228,Electronic Check,No,Yes,0,900000,5000,3,Month-to-month,No,December,0
1229,Electronic Check,No,Yes,0,1100000,7000,1,Month-to-month,No,December,0
1230,Electronic Check,No,Yes,0,1000000,4000,2,Month-to-month,No,December,0
1231,Electronic Check,No,Yes,0,1100000,10000,46,Month-to-month,No,December,0
1232,Mailed Check,No,Yes,0,1100000,4000,3,Month-to-month,No,December,0
1233,Bank Transfer,No,Yes,0,1100000,3000,11,Month-to-month,No,December,0
1234,Mailed Check,No,Yes,0,800000,7000,1,Month-to-month,No,December,0
1235,Electronic Check,Yes,Yes,0,1600000,4000,67,Two years,Yes,December,0
1236,Electronic Check,No,Yes,0,1300000,3000,1,Month-to-month,No,December,0
1237,Electronic Check,No,Yes,0,1600000,3000,7,Month-to-month,No,December,0
1238,Electronic Check,No,Yes,0,1800000,8000,5,Month-to-month,No,December,0
1239,Electronic Check,No,Yes,0,900000,9000,1,Month-to-month,No,December,0
1240,Bank Transfer,Yes,Yes,0,1500000,4000,53,One year,No,December,0
1241,Bank Transfer,No,Yes,0,1100000,6000,30,Month-to-month,No,December,0
1242,Electronic Check,No,Yes,0,1000000,8000,43,Month-to-month,No,December,0
1243,Mailed Check,No,Yes,0,1800000,13000,2,Month-to-month,No,December,0
1244,Electronic Check,No,Yes,0,1600000,4000,1,Month-to-month,No,December,0
1245,Electronic Check,No,Yes,0,1800000,4000,21,Month-to-month,No,December,0
1246,Electronic Check,No,Yes,0,800000,6000,25,Month-to-month,No,December,0
1247,Electronic Check,No,Yes,0,1300000,13000,60,Month-to-month,No,December,0
1248,Bank Transfer,Yes,Yes,0,1100000,10000,41,One year,No,December,0
1249,Bank Transfer,No,Yes,0,1800000,9000,25,Month-to-month,No,December,0
1250,Electronic Check,No,Yes,0,1900000,13000,31,Month-to-month,No,December,0
1251,Electronic Check,No,Yes,0,800000,3000,1,Month-to-month,No,December,0
1252,Electronic Check,No,Yes,0,1000000,12000,2,Month-to-month,No,December,0
1253,Electronic Check,No,Yes,0,1000000,4000,8,Month-to-month,No,December,0
1254,Electronic Check,No,Yes,0,1700000,8000,1,Month-to-month,No,December,0
1255,Electronic Check,No,Yes,0,1800000,4000,6,Month-to-month,No,December,0
1256,Electronic Check,No,Yes,0,1600000,11000,8,Month-to-month,No,December,0
1257,Mailed Check,No,Yes,0,1600000,3000,4,Month-to-month,No,December,0
1258,Electronic Check,No,Yes,0,1400000,4000,20,Month-to-month,No,December,0
1259,Electronic Check,No,Yes,0,1300000,9000,35,Month-to-month,No,December,0
1260,Credit Card,Yes,Yes,0,1500000,1000,58,One year,No,December,0
1261,Electronic Check,No,Yes,0,800000,13000,9,Month-to-month,No,December,0
1262,Bank Transfer,No,Yes,0,700000,6000,17,Month-to-month,No,December,0
1263,Electronic Check,No,Yes,0,1500000,2000,57,Month-to-month,No,December,0
1264,Electronic Check,No,Yes,0,1700000,13000,1,Month-to-month,No,December,0
1265,Mailed Check,No,Yes,0,800000,12000,9,Month-to-month,No,December,0
1266,Mailed Check,No,Yes,0,1400000,14000,1,Month-to-month,No,December,0
1267,Bank Transfer,Yes,Yes,0,1400000,14000,69,One year,No,December,0
1268,Electronic Check,No,Yes,0,1200000,9000,5,Month-to-month,No,December,0
1269,Electronic Check,No,Yes,0,1600000,12000,1,Month-to-month,No,December,0
1270,Electronic Check,No,Yes,0,1500000,5000,1,Month-to-month,No,December,0
1271,Electronic Check,No,Yes,0,1000000,14000,10,Month-to-month,No,December,0
1272,Credit Card,Yes,Yes,0,1300000,9000,12,One year,No,December,0
1273,Electronic Check,Yes,Yes,0,1500000,8000,70,One year,No,December,0
1274,Electronic Check,No,Yes,0,1800000,3000,29,Month-to-month,No,December,0
1275,Electronic Check,No,Yes,0,1600000,8000,13,Month-to-month,No,December,0
1276,Electronic Check,No,Yes,0,1700000,14000,15,Month-to-month,No,December,0
1277,Electronic Check,No,Yes,0,1900000,5000,25,Month-to-month,No,December,0
1278,Electronic Check,Yes,Yes,0,1600000,1000,43,Two years,Yes,December,0
1279,Electronic Check,No,Yes,0,1800000,5000,1,Month-to-month,No,December,0
1280,Mailed Check,Yes,Yes,0,1300000,13000,38,One year,No,December,0
1281,Electronic Check,No,Yes,0,1100000,7000,27,Month-to-month,No,December,0
1282,Electronic Check,No,Yes,0,700000,2000,1,Month-to-month,No,December,0
1283,Credit Card,No,Yes,0,1900000,6000,18,Month-to-month,No,December,0
1284,Mailed Check,No,Yes,0,1800000,14000,1,Month-to-month,No,December,0
1285,Electronic Check,No,Yes,0,700000,12000,1,Month-to-month,No,December,0
