Account,Payment Method,Maintenance,Churn,Points Used,Monthly Charges,Points,Tenure,Contract,Insurance,Month of Churn,Gender,Age
1966,Electronic Check,No,No,0,150,3000,47,Month-to-month,No,None,Female,27
1967,Bank Transfer,No,No,0,110,5000,60,Month-to-month,No,None,Male,21
1968,Bank Transfer,Yes,No,0,130,8000,72,Two years,Yes,None,Male,44
1969,Credit Card,Yes,No,0,190,12000,18,One year,No,None,Male,22
1970,Electronic Check,No,No,0,70,1000,3,Month-to-month,No,None,Male,33
1971,Electronic Check,Yes,No,0,140,2000,47,One year,No,None,Male,32
1972,Mailed Check,Yes,No,0,120,11000,31,Two years,Yes,None,Female,30
1973,Bank Transfer,Yes,No,0,170,7000,50,Two years,Yes,None,Female,53
1974,Mailed Check,No,No,0,140,4000,10,Month-to-month,No,None,Female,34
1975,Mailed Check,No,No,0,150,4000,1,Month-to-month,No,None,Male,45
1976,Electronic Check,Yes,No,0,180,14000,52,One year,No,None,Female,26
1977,Bank Transfer,Yes,No,0,70,6000,64,Two years,Yes,None,Female,37
1978,Bank Transfer,Yes,No,0,90,2000,62,Two years,Yes,None,Male,29
1979,Bank Transfer,No,No,0,110,13000,3,Month-to-month,No,None,Female,35
1980,Electronic Check,Yes,No,0,170,11000,56,One year,No,None,Male,33
1981,Credit Card,Yes,No,0,190,14000,46,One year,No,None,Male,54
1982,Mailed Check,No,No,0,180,1000,8,Month-to-month,No,None,Male,36
1983,Electronic Check,No,No,0,90,6000,30,Month-to-month,No,None,Male,27
1984,Credit Card,Yes,No,0,130,11000,45,One year,No,None,Male,20
1985,Electronic Check,No,No,0,70,1000,11,Month-to-month,No,None,Male,33
1986,Bank Transfer,No,No,0,120,4000,42,Month-to-month,No,None,Male,35
1987,Bank Transfer,Yes,No,0,100,9000,49,Two years,Yes,None,Male,23
1988,Credit Card,No,No,0,90,11000,9,Month-to-month,No,None,Male,25
1989,Bank Transfer,Yes,No,0,140,11000,35,One year,No,None,Male,38
1990,Bank Transfer,Yes,No,0,180,9000,48,Two years,Yes,None,Female,29
1991,Mailed Check,Yes,No,0,70,13000,46,Two years,Yes,None,Male,48
1992,Mailed Check,No,No,0,140,3000,29,Month-to-month,No,None,Male,27
1993,Bank Transfer,No,No,0,160,3000,30,Month-to-month,No,None,Female,37
1994,Electronic Check,No,No,0,100,6000,1,Month-to-month,No,None,Male,50
1995,Mailed Check,Yes,No,0,130,4000,66,Two years,Yes,None,Male,34
1996,Credit Card,No,No,0,160,7000,65,Month-to-month,No,None,Female,24
1997,Bank Transfer,Yes,No,0,70,6000,72,Two years,Yes,None,Female,39
1998,Credit Card,Yes,No,0,90,6000,71,One year,No,None,Female,32
1999,Bank Transfer,Yes,No,0,100,9000,52,Two years,Yes,None,Male,50
2000,Mailed Check,No,No,0,90,3000,1,Month-to-month,No,None,Male,38
2001,Electronic Check,No,No,0,120,5000,1,Month-to-month,No,None,Female,27
2002,Bank Transfer,Yes,No,0,170,11000,38,One year,No,None,Female,32
2003,Bank Transfer,Yes,No,0,140,9000,66,One year,No,None,Female,47
2004,Mailed Check,No,No,0,100,3000,5,Month-to-month,No,None,Male,40
2005,Electronic Check,Yes,No,0,160,14000,72,One year,No,None,Male,53
2006,Mailed Check,Yes,No,0,120,13000,32,One year,No,None,Male,41
2007,Mailed Check,Yes,No,0,90,10000,43,One year,No,None,Male,60
2008,Credit Card,Yes,No,0,150,9000,72,Two years,Yes,None,Male,27
2009,Credit Card,Yes,No,0,140,14000,52,One year,No,None,Male,41
2010,Electronic Check,No,No,0,160,8000,43,Month-to-month,No,None,Male,50
2011,Electronic Check,Yes,No,0,80,7000,64,Two years,Yes,None,Male,28
2012,Electronic Check,No,No,0,100,10000,3,Month-to-month,No,None,Female,36
2013,Bank Transfer,Yes,No,0,110,2000,36,Two years,Yes,None,Female,38
2014,Mailed Check,Yes,No,0,110,11000,41,Two years,Yes,None,Female,44
2015,Credit Card,No,No,0,190,8000,27,Month-to-month,No,None,Male,47
2016,Credit Card,Yes,No,0,100,12000,56,One year,No,None,Female,30
2017,Mailed Check,No,No,0,100,2000,6,Month-to-month,No,None,Male,29
2018,Mailed Check,No,No,0,150,10000,7,Month-to-month,No,None,Male,42
2019,Mailed Check,No,No,0,170,6000,4,Month-to-month,No,None,Male,43
2020,Electronic Check,Yes,No,0,70,8000,33,Two years,Yes,None,Male,34
2021,Bank Transfer,Yes,No,0,170,7000,72,Two years,Yes,None,Female,23
2022,Mailed Check,No,No,0,80,10000,1,Month-to-month,No,None,Male,39
2023,Electronic Check,Yes,No,0,140,6000,71,One year,No,None,Female,56
2024,Electronic Check,No,No,0,70,5000,13,Month-to-month,No,None,Male,40
2025,Bank Transfer,Yes,No,0,180,4000,67,Two years,Yes,None,Female,27
2026,Credit Card,Yes,No,0,70,5000,43,Two years,Yes,None,Female,29
2027,Bank Transfer,No,No,0,170,7000,23,Month-to-month,No,None,Male,53
2028,Mailed Check,Yes,No,0,190,10000,64,Two years,Yes,None,Male,35
2029,Mailed Check,Yes,No,0,80,2000,57,Two years,Yes,None,Female,32
2030,Credit Card,Yes,No,0,90,2000,72,Two years,Yes,None,Male,38
2031,Bank Transfer,Yes,No,0,150,2000,61,Two years,Yes,None,Male,34
2032,Credit Card,Yes,No,0,70,10000,64,One year,No,None,Female,52
2033,Bank Transfer,Yes,No,0,180,14000,71,Two years,Yes,None,Male,33
2034,Credit Card,Yes,No,0,170,8000,65,Two years,Yes,None,Male,25
2035,Mailed Check,Yes,No,0,100,3000,3,One year,No,None,Female,45
2036,Credit Card,Yes,No,0,130,9000,30,One year,No,None,Male,23
2037,Mailed Check,No,No,0,140,11000,15,Month-to-month,No,None,Male,47
2038,Electronic Check,No,No,0,160,9000,8,Month-to-month,No,None,Female,34
2039,Credit Card,Yes,No,0,160,6000,70,One year,No,None,Male,55
2040,Electronic Check,Yes,No,0,110,14000,62,Two years,Yes,None,Male,36
2041,Mailed Check,No,No,0,100,11000,6,Month-to-month,No,None,Male,52
2042,Bank Transfer,No,No,0,190,13000,14,Month-to-month,No,None,Male,26
2043,Mailed Check,Yes,No,0,170,9000,22,One year,No,None,Female,29
2044,Mailed Check,Yes,No,0,80,13000,16,Two years,Yes,None,Female,26
2045,Bank Transfer,Yes,No,0,110,8000,10,Two years,Yes,None,Male,34
2046,Electronic Check,No,No,0,120,10000,13,Month-to-month,No,None,Female,54
2047,Electronic Check,No,No,0,170,8000,2,Month-to-month,No,None,Female,27
2048,Bank Transfer,Yes,No,0,130,8000,53,Two years,Yes,None,Male,37
2049,Mailed Check,Yes,No,0,150,14000,11,One year,No,None,Female,38
2050,Mailed Check,Yes,No,0,190,13000,69,Two years,Yes,None,Female,34
2051,Bank Transfer,Yes,No,0,190,4000,72,Two years,Yes,None,Female,35
2052,Electronic Check,No,No,0,170,4000,16,Month-to-month,No,None,Female,30
2053,Bank Transfer,Yes,No,0,190,11000,43,One year,No,None,Male,40
2054,Mailed Check,Yes,No,0,190,14000,14,Two years,Yes,None,Female,34
2055,Bank Transfer,Yes,No,0,70,13000,32,One year,No,None,Female,42
2056,Electronic Check,No,No,0,160,2000,34,Month-to-month,No,None,Male,23
2057,Bank Transfer,No,No,0,100,6000,15,Month-to-month,No,None,Male,24
2058,Credit Card,Yes,No,0,110,7000,61,One year,No,None,Male,52
2059,Mailed Check,No,No,0,190,7000,1,Month-to-month,No,None,Female,50
2060,Credit Card,Yes,No,0,100,2000,33,One year,No,None,Male,29
2061,Mailed Check,No,No,0,110,13000,20,Month-to-month,No,None,Female,33
2062,Electronic Check,No,No,0,120,8000,3,Month-to-month,No,None,Male,33
2063,Electronic Check,Yes,No,0,150,13000,13,One year,No,None,Female,47
2064,Credit Card,No,No,0,140,12000,40,Month-to-month,No,None,Female,36
2065,Credit Card,Yes,No,0,160,12000,43,One year,No,None,Female,29
2066,Bank Transfer,Yes,No,0,100,12000,69,Two years,Yes,None,Male,58
2067,Credit Card,Yes,No,0,150,7000,72,Two years,Yes,None,Male,35
2068,Credit Card,Yes,No,0,180,7000,59,Two years,Yes,None,Female,42
2069,Electronic Check,No,No,0,150,2000,20,Month-to-month,No,None,Female,28
2070,Bank Transfer,Yes,No,0,190,12000,24,Two years,Yes,None,Male,36
2071,Electronic Check,No,No,0,180,1000,59,Month-to-month,No,None,Male,32
2072,Bank Transfer,Yes,No,0,180,10000,72,Two years,Yes,None,Female,40
2073,Mailed Check,No,No,0,160,11000,1,Month-to-month,No,None,Male,30
2074,Credit Card,Yes,No,0,170,7000,27,One year,No,None,Female,45
2075,Credit Card,No,No,0,100,13000,14,Month-to-month,No,None,Female,42
2076,Electronic Check,Yes,No,0,90,9000,71,Two years,Yes,None,Male,38
2077,Credit Card,No,No,0,80,2000,13,Month-to-month,No,None,Male,34
2078,Credit Card,No,No,0,180,4000,44,Month-to-month,No,None,Female,49
2079,Bank Transfer,Yes,No,0,140,3000,33,One year,No,None,Female,55
2080,Credit Card,Yes,No,0,160,13000,72,Two years,Yes,None,Male,43
2081,Credit Card,Yes,No,0,190,1000,64,One year,No,None,Male,27
2082,Electronic Check,No,No,0,160,13000,1,Month-to-month,No,None,Male,35
2083,Mailed Check,Yes,No,0,160,8000,61,Two years,Yes,None,Male,28
2084,Electronic Check,Yes,No,0,130,10000,29,One year,No,None,Female,34
2085,Electronic Check,No,No,0,130,6000,23,Month-to-month,No,None,Male,26
2086,Bank Transfer,No,No,0,90,10000,57,Month-to-month,No,None,Female,27
2087,Credit Card,Yes,No,0,70,13000,72,Two years,Yes,None,Male,51
2088,Bank Transfer,Yes,No,0,140,6000,66,Two years,Yes,None,Female,44
2089,Bank Transfer,Yes,No,0,70,4000,65,Two years,Yes,None,Male,25
2090,Bank Transfer,No,No,0,90,4000,8,Month-to-month,No,None,Male,33
2091,Bank Transfer,Yes,No,0,140,13000,71,Two years,Yes,None,Male,35
2092,Electronic Check,Yes,No,0,140,3000,1,One year,No,None,Female,36
2093,Bank Transfer,Yes,No,0,100,1000,12,One year,No,None,Male,32
2094,Mailed Check,Yes,No,0,110,13000,24,One year,No,None,Male,30
2095,Mailed Check,Yes,No,0,140,3000,31,One year,No,None,Male,53
2096,Credit Card,No,No,0,90,14000,30,Month-to-month,No,None,Female,45
2097,Credit Card,Yes,No,0,180,4000,47,Two years,Yes,None,Male,32
2098,Credit Card,No,No,0,190,6000,50,Month-to-month,No,None,Female,52
2099,Credit Card,Yes,No,0,190,5000,72,Two years,Yes,None,Female,37
2100,Electronic Check,No,No,0,160,4000,29,Month-to-month,No,None,Male,28
2101,Mailed Check,Yes,No,0,160,14000,10,Two years,Yes,None,Male,22
2102,Electronic Check,No,No,0,70,4000,18,Month-to-month,No,None,Male,44
2103,Mailed Check,Yes,No,0,90,10000,16,Two years,Yes,None,Male,42
2104,Bank Transfer,Yes,No,0,150,4000,72,Two years,Yes,None,Male,36
2105,Bank Transfer,Yes,No,0,150,12000,72,Two years,Yes,None,Male,25
2106,Credit Card,Yes,No,0,120,5000,41,One year,No,None,Male,35
2107,Electronic Check,No,No,0,80,1000,65,Month-to-month,No,None,Female,35
2108,Electronic Check,No,No,0,100,8000,13,Month-to-month,No,None,Female,32
2109,Electronic Check,No,No,0,180,9000,4,Month-to-month,No,None,Male,25
2110,Mailed Check,Yes,No,0,190,2000,41,One year,No,None,Male,49
2111,Electronic Check,Yes,No,0,150,6000,42,One year,No,None,Female,24
2112,Electronic Check,Yes,No,0,80,11000,51,One year,No,None,Male,32
2113,Credit Card,Yes,No,0,170,7000,32,One year,No,None,Male,38
2114,Mailed Check,No,No,0,150,4000,10,Month-to-month,No,None,Male,42
2115,Electronic Check,Yes,No,0,130,1000,67,Two years,Yes,None,Female,31
2116,Credit Card,Yes,No,0,110,6000,61,Two years,Yes,None,Male,29
2117,Credit Card,Yes,No,0,130,5000,50,One year,No,None,Female,53
2118,Electronic Check,No,No,0,120,8000,29,Month-to-month,No,None,Male,35
2119,Electronic Check,No,No,0,90,14000,57,Month-to-month,No,None,Male,37
2120,Bank Transfer,Yes,No,0,190,4000,31,Two years,Yes,None,Female,53
2121,Mailed Check,Yes,No,0,90,4000,45,One year,No,None,Female,43
2122,Mailed Check,Yes,No,0,170,2000,61,Two years,Yes,None,Female,47
2123,Bank Transfer,Yes,No,0,190,4000,50,Two years,Yes,None,Female,37
2124,Mailed Check,No,No,0,110,14000,19,Month-to-month,No,None,Male,50
2125,Credit Card,Yes,No,0,110,3000,71,Two years,Yes,None,Male,39
2126,Electronic Check,Yes,No,0,90,10000,57,Two years,Yes,None,Female,33
2127,Electronic Check,No,No,0,170,5000,20,Month-to-month,No,None,Male,32
2128,Bank Transfer,No,No,0,160,8000,21,Month-to-month,No,None,Male,29
2129,Electronic Check,No,No,0,110,8000,14,Month-to-month,No,None,Female,44
2130,Bank Transfer,No,No,0,150,11000,5,Month-to-month,No,None,Male,28
2131,Mailed Check,No,No,0,170,12000,6,Month-to-month,No,None,Male,58
2132,Electronic Check,No,No,0,120,9000,10,Month-to-month,No,None,Male,43
2133,Mailed Check,No,No,0,180,5000,1,Month-to-month,No,None,Female,20
2134,Mailed Check,No,No,0,150,4000,68,Month-to-month,No,None,Female,21
2135,Credit Card,Yes,No,0,170,1000,22,One year,No,None,Female,36
2136,Electronic Check,No,No,0,90,1000,20,Month-to-month,No,None,Male,47
2137,Mailed Check,Yes,No,0,110,13000,35,One year,No,None,Female,22
2138,Mailed Check,Yes,No,0,100,8000,23,One year,No,None,Female,41
2139,Electronic Check,No,No,0,70,14000,6,Month-to-month,No,None,Female,28
2140,Mailed Check,No,No,0,90,1000,12,Month-to-month,No,None,Female,39
2141,Mailed Check,No,No,0,90,5000,1,Month-to-month,No,None,Male,27
2142,Electronic Check,Yes,No,0,130,1000,71,Two years,Yes,None,Female,34
2143,Electronic Check,No,No,0,100,3000,35,Month-to-month,No,None,Male,42
2144,Electronic Check,No,No,0,190,14000,40,Month-to-month,No,None,Female,33
2145,Bank Transfer,Yes,No,0,90,13000,23,One year,No,None,Male,58
2146,Electronic Check,No,No,0,160,7000,4,Month-to-month,No,None,Female,31
2147,Credit Card,Yes,No,0,140,4000,68,Two years,Yes,None,Male,35
2148,Mailed Check,Yes,No,0,150,13000,52,Two years,Yes,None,Female,49
2149,Mailed Check,Yes,No,0,140,8000,29,Two years,Yes,None,Female,48
2150,Electronic Check,No,No,0,70,5000,38,Month-to-month,No,None,Male,31
2151,Credit Card,Yes,No,0,70,4000,48,One year,No,None,Female,36
2152,Bank Transfer,No,No,0,150,14000,1,Month-to-month,No,None,Male,38
2153,Electronic Check,No,No,0,150,14000,22,Month-to-month,No,None,Female,32
2154,Credit Card,Yes,No,0,160,4000,43,Two years,Yes,None,Female,25
2155,Electronic Check,No,No,0,180,1000,5,Month-to-month,No,None,Male,40
2156,Credit Card,Yes,No,0,130,5000,51,One year,No,None,Male,26
2157,Credit Card,Yes,No,0,120,9000,71,Two years,Yes,None,Male,41
2158,Credit Card,No,No,0,190,4000,35,Month-to-month,No,None,Male,36
2159,Electronic Check,Yes,No,0,150,5000,72,Two years,Yes,None,Male,19
2160,Electronic Check,No,No,0,120,14000,1,Month-to-month,No,None,Male,20
2161,Mailed Check,Yes,No,0,80,8000,9,One year,No,None,Male,31
2162,Bank Transfer,Yes,No,0,160,13000,69,Two years,Yes,None,Female,40
2163,Credit Card,No,No,0,100,10000,52,Month-to-month,No,None,Male,32
2164,Electronic Check,No,No,0,90,6000,11,Month-to-month,No,None,Female,36
2165,Electronic Check,No,No,0,150,13000,28,Month-to-month,No,None,Male,33
2166,Credit Card,No,No,0,90,2000,17,Month-to-month,No,None,Female,37
2167,Mailed Check,Yes,No,0,110,4000,35,Two years,Yes,None,Male,45
2168,Mailed Check,Yes,No,0,110,11000,8,One year,No,None,Male,29
2169,Credit Card,Yes,No,0,100,12000,46,One year,No,None,Female,35
2170,Electronic Check,Yes,No,0,80,11000,68,Two years,Yes,None,Female,52
2171,Credit Card,No,No,0,130,14000,36,Month-to-month,No,None,Male,58
2172,Bank Transfer,No,No,0,80,1000,32,Month-to-month,No,None,Male,53
2173,Credit Card,Yes,No,0,90,8000,71,Two years,Yes,None,Male,30
2174,Bank Transfer,No,No,0,100,13000,66,Month-to-month,No,None,Male,38
2175,Mailed Check,Yes,No,0,80,2000,63,One year,No,None,Female,35
2176,Credit Card,Yes,No,0,150,9000,41,One year,No,None,Male,39
2177,Electronic Check,No,No,0,130,1000,1,Month-to-month,No,None,Male,40
2178,Bank Transfer,Yes,No,0,190,7000,70,Two years,Yes,None,Female,47
2179,Electronic Check,No,No,0,90,6000,23,Month-to-month,No,None,Male,36
2180,Bank Transfer,Yes,No,0,80,7000,64,One year,No,None,Male,31
2181,Credit Card,Yes,No,0,180,13000,37,Two years,Yes,None,Male,33
2182,Mailed Check,Yes,No,0,120,8000,17,One year,No,None,Male,29
2183,Electronic Check,No,No,0,190,3000,7,Month-to-month,No,None,Female,33
2184,Electronic Check,No,No,0,180,7000,16,Month-to-month,No,None,Female,45
2185,Electronic Check,Yes,No,0,80,9000,64,Two years,Yes,None,Female,50
2186,Electronic Check,Yes,No,0,160,9000,42,One year,No,None,Male,33
2187,Mailed Check,No,No,0,170,6000,5,Month-to-month,No,None,Female,41
2188,Bank Transfer,Yes,No,0,130,7000,41,Two years,Yes,None,Male,27
2189,Credit Card,Yes,No,0,150,8000,58,One year,No,None,Female,45
2190,Mailed Check,Yes,No,0,80,6000,47,Two years,Yes,None,Male,47
2191,Bank Transfer,No,No,0,140,11000,18,Month-to-month,No,None,Female,30
2192,Bank Transfer,No,No,0,120,6000,23,Month-to-month,No,None,Female,50
2193,Mailed Check,No,No,0,130,8000,1,Month-to-month,No,None,Male,38
2194,Credit Card,Yes,No,0,180,4000,71,One year,No,None,Male,46
2195,Credit Card,Yes,No,0,80,2000,72,Two years,Yes,None,Male,24
2196,Mailed Check,Yes,No,0,160,12000,33,One year,No,None,Female,35
2197,Mailed Check,Yes,No,0,170,12000,24,Two years,Yes,None,Male,31
2198,Credit Card,Yes,No,0,120,9000,56,One year,No,None,Female,18
2199,Credit Card,No,No,0,190,6000,37,Month-to-month,No,None,Male,54
2200,Credit Card,Yes,No,0,170,6000,43,One year,No,None,Female,35
2201,Mailed Check,No,No,0,160,14000,1,Month-to-month,No,None,Female,30
2202,Electronic Check,Yes,No,0,120,4000,17,One year,No,None,Female,20
2203,Bank Transfer,Yes,No,0,120,7000,41,One year,No,None,Female,30
2204,Bank Transfer,Yes,No,0,70,7000,72,Two years,Yes,None,Female,26
2205,Bank Transfer,Yes,No,0,100,13000,48,Two years,Yes,None,Male,22
2206,Electronic Check,Yes,No,0,180,12000,42,One year,No,None,Male,48
2207,Mailed Check,No,No,0,170,8000,44,Month-to-month,No,None,Male,48
2208,Electronic Check,No,No,0,80,8000,1,Month-to-month,No,None,Male,41
2209,Bank Transfer,No,No,0,80,1000,27,Month-to-month,No,None,Female,39
2210,Bank Transfer,No,No,0,120,1000,27,Month-to-month,No,None,Female,27
2211,Electronic Check,No,No,0,170,11000,2,Month-to-month,No,None,Female,35
2212,Mailed Check,No,No,0,80,13000,19,Month-to-month,No,None,Male,42
2213,Electronic Check,No,No,0,160,2000,42,Month-to-month,No,None,Male,50
2214,Credit Card,Yes,No,0,120,2000,66,Two years,Yes,None,Male,59
2215,Bank Transfer,No,No,0,90,1000,33,Month-to-month,No,None,Female,37
2216,Electronic Check,No,No,0,180,11000,33,Month-to-month,No,None,Female,55
2217,Mailed Check,Yes,No,0,70,4000,23,One year,No,None,Male,41
2218,Bank Transfer,Yes,No,0,130,9000,32,One year,No,None,Female,38
2219,Credit Card,Yes,No,0,170,13000,11,One year,No,None,Male,26
2220,Bank Transfer,Yes,No,0,170,10000,68,One year,No,None,Male,52
2221,Mailed Check,Yes,No,0,100,12000,20,Two years,Yes,None,Female,44
2222,Credit Card,Yes,No,0,110,13000,72,Two years,Yes,None,Female,50
2223,Bank Transfer,Yes,No,0,170,14000,60,One year,No,None,Female,36
2224,Mailed Check,No,No,0,130,3000,32,Month-to-month,No,None,Female,39
2225,Bank Transfer,Yes,No,0,160,1000,46,One year,No,None,Female,33
2226,Electronic Check,No,No,0,140,7000,29,Month-to-month,No,None,Female,45
2227,Electronic Check,No,No,0,80,10000,51,Month-to-month,No,None,Female,32
2228,Bank Transfer,No,No,0,90,10000,48,Month-to-month,No,None,Female,34
2229,Bank Transfer,No,No,0,70,10000,16,Month-to-month,No,None,Male,59
2230,Bank Transfer,Yes,No,0,70,3000,70,Two years,Yes,None,Male,45
2231,Mailed Check,Yes,No,0,150,9000,40,Two years,Yes,None,Male,53
2232,Mailed Check,No,No,0,70,5000,5,Month-to-month,No,None,Female,36
2233,Bank Transfer,No,No,0,90,7000,7,Month-to-month,No,None,Male,26
2234,Credit Card,Yes,No,0,170,8000,29,One year,No,None,Male,34
2235,Mailed Check,Yes,No,0,150,10000,44,One year,No,None,Female,28
2236,Bank Transfer,No,No,0,150,8000,10,Month-to-month,No,None,Male,38
2237,Bank Transfer,No,No,0,190,9000,55,Month-to-month,No,None,Male,50
2238,Bank Transfer,Yes,No,0,140,10000,52,One year,No,None,Male,37
2239,Electronic Check,No,No,0,160,5000,10,Month-to-month,No,None,Female,40
2240,Bank Transfer,No,No,0,130,6000,18,Month-to-month,No,None,Male,26
2241,Bank Transfer,Yes,No,0,120,6000,68,One year,No,None,Female,46
2242,Credit Card,Yes,No,0,80,2000,72,Two years,Yes,None,Male,54
2243,Electronic Check,No,No,0,150,5000,2,Month-to-month,No,None,Female,56
2244,Electronic Check,Yes,No,0,140,8000,41,Two years,Yes,None,Female,36
2245,Credit Card,No,No,0,140,11000,26,Month-to-month,No,None,Female,55
2246,Bank Transfer,Yes,No,0,150,11000,36,One year,No,None,Male,43
2247,Credit Card,Yes,No,0,110,13000,72,Two years,Yes,None,Male,20
2248,Bank Transfer,No,No,0,90,2000,35,Month-to-month,No,None,Female,21
2249,Mailed Check,No,No,0,90,4000,1,Month-to-month,No,None,Female,46
2250,Electronic Check,No,No,0,180,9000,16,Month-to-month,No,None,Female,51
2251,Credit Card,No,No,0,80,11000,49,Month-to-month,No,None,Male,28
2252,Mailed Check,Yes,No,0,80,9000,54,One year,No,None,Male,26
2253,Electronic Check,No,No,0,170,11000,18,Month-to-month,No,None,Male,30
2254,Electronic Check,No,No,0,130,2000,36,Month-to-month,No,None,Male,41
2255,Bank Transfer,Yes,No,0,160,14000,52,Two years,Yes,None,Female,38
2256,Electronic Check,No,No,0,150,13000,8,Month-to-month,No,None,Female,40
2257,Bank Transfer,Yes,No,0,160,5000,72,Two years,Yes,None,Male,27
2258,Mailed Check,Yes,No,0,90,13000,64,One year,No,None,Male,55
2259,Mailed Check,No,No,0,190,8000,22,Month-to-month,No,None,Male,28
2260,Mailed Check,Yes,No,0,180,6000,61,Two years,Yes,None,Female,44
2261,Electronic Check,No,No,0,160,6000,24,Month-to-month,No,None,Male,33
2262,Bank Transfer,Yes,No,0,180,4000,28,One year,No,None,Male,35
2263,Bank Transfer,Yes,No,0,100,1000,30,Two years,Yes,None,Male,33
2264,Mailed Check,No,No,0,70,5000,2,Month-to-month,No,None,Female,28
2265,Electronic Check,No,No,0,180,14000,1,Month-to-month,No,None,Male,34
2266,Mailed Check,No,No,0,100,9000,6,Month-to-month,No,None,Male,37
2267,Bank Transfer,No,No,0,100,5000,24,Month-to-month,No,None,Female,25
2268,Bank Transfer,Yes,No,0,80,12000,72,Two years,Yes,None,Male,26
2269,Mailed Check,Yes,No,0,80,9000,70,Two years,Yes,None,Male,33
2270,Electronic Check,Yes,No,0,180,5000,64,Two years,Yes,None,Male,42
2271,Electronic Check,Yes,No,0,90,14000,72,One year,No,None,Male,28
2272,Mailed Check,Yes,No,0,190,1000,44,Two years,Yes,None,Male,50
2273,Mailed Check,Yes,No,0,70,3000,17,One year,No,None,Male,33
2274,Mailed Check,No,No,0,110,6000,9,Month-to-month,No,None,Female,34
2275,Mailed Check,No,No,0,170,7000,24,Month-to-month,No,None,Male,48
2276,Electronic Check,No,No,0,150,6000,35,Month-to-month,No,None,Male,45
2277,Electronic Check,No,No,0,90,8000,7,Month-to-month,No,None,Female,52
2278,Mailed Check,Yes,No,0,70,9000,11,Two years,Yes,None,Male,38
2279,Electronic Check,No,No,0,170,6000,20,Month-to-month,No,None,Male,29
2280,Bank Transfer,Yes,No,0,100,7000,72,One year,No,None,Female,28
2281,Credit Card,Yes,No,0,180,14000,72,Two years,Yes,None,Female,46
2282,Electronic Check,No,No,0,150,5000,15,Month-to-month,No,None,Male,38
2283,Bank Transfer,Yes,No,0,80,12000,72,Two years,Yes,None,Male,43
2284,Bank Transfer,Yes,No,0,70,6000,63,Two years,Yes,None,Female,39
2285,Electronic Check,No,No,0,120,12000,2,Month-to-month,No,None,Male,40
2286,Bank Transfer,Yes,No,0,140,1000,61,One year,No,None,Male,21
2287,Mailed Check,No,No,0,180,14000,1,Month-to-month,No,None,Female,39
2288,Mailed Check,No,No,0,120,6000,28,Month-to-month,No,None,Male,36
2289,Bank Transfer,Yes,No,0,150,11000,70,Two years,Yes,None,Male,31
2290,Credit Card,Yes,No,0,180,3000,34,One year,No,None,Male,28
2291,Credit Card,Yes,No,0,190,13000,71,Two years,Yes,None,Male,35
2292,Bank Transfer,Yes,No,0,110,9000,70,One year,No,None,Male,49
2293,Bank Transfer,No,No,0,140,11000,52,Month-to-month,No,None,Male,34
2294,Credit Card,Yes,No,0,70,4000,69,Two years,Yes,None,Male,29
2295,Mailed Check,No,No,0,180,5000,11,Month-to-month,No,None,Female,42
2296,Mailed Check,No,No,0,70,10000,1,Month-to-month,No,None,Male,29
2297,Credit Card,Yes,No,0,150,10000,20,One year,No,None,Male,38
2298,Electronic Check,No,No,0,120,5000,61,Month-to-month,No,None,Male,28
2299,Bank Transfer,No,No,0,80,7000,56,Month-to-month,No,None,Male,18
2300,Credit Card,No,No,0,190,12000,30,Month-to-month,No,None,Male,33
2301,Mailed Check,Yes,No,0,120,4000,28,One year,No,None,Female,41
2302,Electronic Check,No,No,0,120,13000,5,Month-to-month,No,None,Male,31
2303,Credit Card,No,No,0,90,14000,12,Month-to-month,No,None,Male,37
2304,Electronic Check,Yes,No,0,80,10000,67,One year,No,None,Female,27
2305,Electronic Check,No,No,0,160,8000,29,Month-to-month,No,None,Male,34
2306,Bank Transfer,No,No,0,90,10000,55,Month-to-month,No,None,Female,35
2307,Electronic Check,Yes,No,0,80,10000,52,One year,No,None,Male,29
2308,Credit Card,Yes,No,0,80,9000,72,Two years,Yes,None,Female,40
2309,Mailed Check,Yes,No,0,140,14000,35,Two years,Yes,None,Female,42
2310,Bank Transfer,Yes,No,0,180,1000,56,Two years,Yes,None,Male,42
2311,Credit Card,Yes,No,0,90,3000,24,Two years,Yes,None,Male,35
2312,Credit Card,Yes,No,0,140,12000,70,Two years,Yes,None,Male,24
2313,Electronic Check,No,No,0,70,10000,2,Month-to-month,No,None,Male,28
2314,Credit Card,Yes,No,0,170,7000,68,One year,No,None,Female,26
2315,Electronic Check,No,No,0,70,6000,12,Month-to-month,No,None,Male,30
2316,Bank Transfer,No,No,0,140,3000,63,Month-to-month,No,None,Male,40
2317,Mailed Check,Yes,No,0,150,11000,33,One year,No,None,Female,35
2318,Credit Card,Yes,No,0,150,5000,69,One year,No,None,Male,34
2319,Bank Transfer,Yes,No,0,110,11000,60,Two years,Yes,None,Male,35
2320,Bank Transfer,Yes,No,0,180,7000,72,Two years,Yes,None,Male,43
2321,Mailed Check,No,No,0,70,11000,11,Month-to-month,No,None,Female,32
2322,Mailed Check,No,No,0,180,11000,1,Month-to-month,No,None,Female,56
2323,Bank Transfer,Yes,No,0,140,1000,34,One year,No,None,Female,29
