PaperlessBilling,MultipleLines,Set,gender,InternetService,SeniorCitizen,MonthlyCharges,TotalCharges,tenure,Churn,Contract,customerID,Dependents,DeviceProtection,OnlineBackup,OnlineSecurity,Partner,PaymentMethod,PhoneService,StreamingMovies,StreamingTV,TechSupport
Yes,No phone service,Train,Female,DSL,0,34.70,34.70,1,Yes,Month-to-month,0375-HVGXO,No,No,No,No,No,Electronic check,No,No,Yes,No
Yes,Yes,Train,Male,DSL,0,70.70,3770.00,54,No,One year,4906-ZHGPK,Yes,No,Yes,No,Yes,Electronic check,Yes,No,Yes,Yes
Yes,Yes,Train,Male,Fiber optic,0,85.30,264.80,3,Yes,Month-to-month,8593-WHYHV,No,No,No,No,No,Electronic check,Yes,Yes,No,No
No,No,Train,Female,DSL,0,75.55,4707.85,63,No,Two year,3795-GWTRD,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes
Yes,Yes,Train,Male,Fiber optic,0,84.80,6152.40,71,No,Two year,1298-PHBTI,Yes,No,Yes,No,Yes,Electronic check,Yes,No,No,Yes
Yes,No,Train,Female,No,0,20.65,958.10,42,No,One year,6223-DHJGV,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,No,Train,Male,No,0,20.45,943.00,47,No,Two year,6961-MJKBO,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,Fiber optic,0,102.45,6615.15,66,Yes,One year,6097-EQISJ,Yes,Yes,Yes,No,Yes,Credit card (automatic),Yes,Yes,Yes,No
Yes,Yes,Test,Female,Fiber optic,0,104.40,2200.25,21,Yes,Month-to-month,4423-YLHDV,No,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,No
Yes,No phone service,Train,Male,DSL,0,35.65,425.10,11,No,Month-to-month,8158-WPEZG,No,No,Yes,No,No,Electronic check,No,No,No,Yes
Yes,Yes,Train,Male,Fiber optic,0,99.75,99.75,1,Yes,Month-to-month,0107-YHINA,Yes,Yes,No,No,No,Electronic check,Yes,Yes,Yes,No
No,Yes,Train,Female,Fiber optic,1,90.45,5044.80,55,No,Month-to-month,4918-FYJNT,No,Yes,Yes,No,Yes,Electronic check,Yes,No,No,Yes
Yes,Yes,Test,Male,Fiber optic,0,97.65,6743.55,69,No,Two year,0727-BNRLG,No,Yes,Yes,No,No,Credit card (automatic),Yes,No,Yes,Yes
No,No,Train,Female,Fiber optic,1,73.85,196.40,3,No,Month-to-month,4854-CIDCF,No,Yes,No,No,No,Electronic check,Yes,No,No,No
Yes,No,Train,Male,DSL,0,74.40,299.70,4,Yes,Month-to-month,8640-SDGKB,No,Yes,No,No,No,Electronic check,Yes,Yes,Yes,Yes
Yes,Yes,Test,Male,DSL,1,69.10,2093.90,30,No,Two year,3280-MRDOF,No,Yes,No,No,No,Credit card (automatic),Yes,No,Yes,Yes
Yes,Yes,Train,Female,Fiber optic,0,82.75,417.75,5,No,Month-to-month,6435-SRWBJ,No,Yes,No,No,No,Electronic check,Yes,No,No,Yes
Yes,Yes,Train,Female,No,0,24.40,1725.40,71,No,Two year,9964-WBQDJ,No,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Test,Female,DSL,0,55.25,1620.20,29,No,One year,6303-KFWSL,No,No,Yes,No,No,Electronic check,Yes,No,No,No
No,Yes,Train,Male,DSL,0,61.35,3169.55,52,No,Month-to-month,1702-CCFNJ,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,Yes
No,Yes,Train,Male,DSL,0,76.75,5233.25,68,No,One year,8932-CZHRQ,No,Yes,Yes,Yes,No,Credit card (automatic),Yes,Yes,No,No
No,No,Train,Female,No,0,19.40,967.85,46,No,Two year,0386-CWRGM,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,DSL,0,54.75,438.05,8,No,Month-to-month,5515-RUGKN,No,No,No,No,No,Credit card (automatic),Yes,Yes,No,No
No,No,Train,Male,No,0,19.70,1421.90,72,No,Two year,0404-AHASP,No,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,No,Train,Female,No,0,19.90,323.15,17,No,One year,7279-NMVJC,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,Fiber optic,0,107.95,318.60,3,No,Month-to-month,2081-VEYEH,No,Yes,Yes,No,No,Electronic check,Yes,Yes,Yes,Yes
Yes,No,Train,Female,Fiber optic,1,83.80,163.70,2,No,Month-to-month,6407-UTSLV,No,No,Yes,No,No,Bank transfer (automatic),Yes,No,Yes,No
Yes,No,Train,Female,Fiber optic,0,74.25,639.65,9,Yes,Month-to-month,4116-TZAQJ,No,No,No,Yes,No,Credit card (automatic),Yes,No,No,No
Yes,No phone service,Train,Female,DSL,0,56.40,2928.50,51,No,One year,9060-HJJRW,No,Yes,Yes,No,No,Credit card (automatic),No,Yes,Yes,No
No,No,Train,Female,No,0,20.10,100.35,6,No,Two year,2587-YNLES,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
No,Yes,Train,Female,Fiber optic,0,94.90,273.20,3,No,Month-to-month,7398-SKNQZ,No,No,No,No,Yes,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Train,Female,Fiber optic,1,94.20,1608.15,17,No,Month-to-month,5935-FCCNB,No,No,No,No,No,Electronic check,Yes,Yes,Yes,No
No,Yes,Train,Male,DSL,0,49.90,1441.95,30,No,Month-to-month,1958-RNRKS,No,No,No,No,Yes,Electronic check,Yes,No,No,No
Yes,Yes,Train,Male,DSL,0,71.05,2168.15,31,No,Month-to-month,5136-RGMZO,No,No,Yes,No,No,Electronic check,Yes,No,Yes,Yes
No,No,Test,Female,DSL,0,81.65,3618.70,45,No,Two year,8345-MVDYC,No,Yes,No,Yes,No,Bank transfer (automatic),Yes,Yes,Yes,Yes
No,Yes,Train,Male,Fiber optic,0,89.45,5692.65,64,No,One year,8226-BXGES,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No
Yes,Yes,Train,Male,DSL,0,59.85,59.85,1,Yes,Month-to-month,3877-JRJIP,No,No,No,No,No,Electronic check,Yes,No,Yes,No
Yes,No,Train,Female,Fiber optic,1,69.60,69.60,1,Yes,Month-to-month,8375-DKEBR,No,No,No,No,No,Electronic check,Yes,No,No,No
No,Yes,Test,Male,Fiber optic,1,99.00,5969.30,61,No,One year,9705-IOVQQ,Yes,No,Yes,No,Yes,Electronic check,Yes,Yes,Yes,No
No,No,Train,Male,No,0,19.05,19.05,1,No,Month-to-month,1015-OWJKI,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No phone service,Train,Male,DSL,0,45.40,418.80,9,Yes,Month-to-month,7511-YMXVQ,No,No,No,No,No,Electronic check,No,Yes,Yes,No
No,Yes,Train,Male,Fiber optic,0,114.45,8100.55,72,No,Two year,2040-XBAVJ,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes
No,No,Test,Female,No,0,19.50,19.50,1,Yes,Month-to-month,7551-JOHTI,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,DSL,0,44.25,313.45,7,No,Month-to-month,8887-IPQNC,No,No,No,No,Yes,Mailed check,Yes,No,No,No
Yes,Yes,Train,Female,Fiber optic,0,90.55,6130.95,66,No,One year,8646-JCOMS,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,Yes
Yes,No,Train,Male,Fiber optic,0,69.90,69.90,1,Yes,Month-to-month,9804-ICWBG,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,No,Train,Male,No,0,20.40,745.30,40,No,Month-to-month,1222-KJNZD,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,DSL,0,71.40,1212.10,16,No,Month-to-month,0106-GHRQR,No,Yes,Yes,No,No,Bank transfer (automatic),Yes,Yes,No,No
Yes,No,Train,Female,Fiber optic,0,87.15,183.75,2,Yes,Month-to-month,5318-IXUZF,No,No,Yes,No,No,Bank transfer (automatic),Yes,No,Yes,No
No,Yes,Train,Male,No,0,24.85,1583.50,67,No,Two year,3768-VHXQO,No,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,Fiber optic,0,104.45,4162.05,41,No,One year,8952-WCVCD,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,No
Yes,No,Train,Female,No,0,19.80,1119.90,56,No,Two year,2418-TPEUN,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Test,Female,Fiber optic,0,116.45,8013.55,72,No,Two year,3963-RYFNS,No,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,Yes,Yes,Yes
Yes,Yes,Test,Female,Fiber optic,0,84.75,264.85,3,Yes,Month-to-month,3198-VELRD,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,Yes,No,No
No,No,Test,Female,No,0,20.05,1102.40,54,No,Two year,8540-ZQGEA,No,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,1,110.75,5832.00,52,No,Month-to-month,1320-REHCS,No,Yes,Yes,No,No,Electronic check,Yes,Yes,Yes,Yes
Yes,No,Train,Female,Fiber optic,0,89.70,4304.50,50,No,Two year,4137-JOPHL,No,Yes,No,No,No,Bank transfer (automatic),Yes,Yes,No,Yes
Yes,Yes,Train,Male,Fiber optic,0,89.95,1178.40,14,Yes,Month-to-month,9436-ZBZCT,No,No,No,No,No,Electronic check,Yes,No,Yes,Yes
No,No,Train,Male,DSL,0,48.70,1421.75,27,No,One year,7801-CEDNV,No,No,No,Yes,Yes,Credit card (automatic),Yes,No,No,No
Yes,Yes,Train,Female,Fiber optic,1,96.60,6827.50,72,No,Two year,2057-BOYKM,No,Yes,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,Yes
Yes,No,Train,Male,DSL,0,74.30,4698.05,62,No,One year,3658-QQJYD,No,No,Yes,Yes,No,Credit card (automatic),Yes,Yes,Yes,No
Yes,No,Train,Female,DSL,0,54.30,654.50,12,No,Month-to-month,1803-BGNBD,No,No,Yes,No,No,Electronic check,Yes,No,No,Yes
No,No,Test,Female,DSL,1,74.85,3268.05,44,No,One year,0134-XWXCE,No,Yes,No,No,No,Bank transfer (automatic),Yes,Yes,Yes,Yes
Yes,No,Train,Male,Fiber optic,0,79.95,4362.05,54,No,Two year,6950-TWMYB,Yes,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,No,Yes
No,No,Train,Female,No,0,20.05,1386.90,68,No,Two year,5848-FHRFC,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
No,No,Train,Male,No,0,19.40,415.40,20,No,Month-to-month,2243-FNMMI,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,Yes,Train,Male,DSL,0,54.90,2614.10,50,No,One year,2511-MORQY,Yes,Yes,No,No,Yes,Bank transfer (automatic),Yes,No,No,No
Yes,Yes,Train,Male,No,0,24.45,1513.60,58,No,Two year,5356-KZCKT,No,No internet service,No internet service,No internet service,No,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,0,89.65,3161.60,35,No,Month-to-month,9470-XCCEM,Yes,No,Yes,No,Yes,Bank transfer (automatic),Yes,No,Yes,No
Yes,No,Train,Female,DSL,0,45.40,80.95,2,No,Month-to-month,6519-CFDBX,No,No,No,No,No,Electronic check,Yes,No,No,No
No,Yes,Train,Male,DSL,0,75.70,4676.70,63,No,Two year,3902-MIVLE,Yes,Yes,No,Yes,Yes,Mailed check,Yes,Yes,No,Yes
Yes,Yes,Train,Female,Fiber optic,0,110.65,6526.65,58,No,One year,0409-WTMPL,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,No
Yes,No,Test,Female,No,0,20.55,583.30,27,No,One year,8763-KIAFH,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,Fiber optic,0,115.15,8078.10,71,No,Two year,3669-WHAFY,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes
No,No,Train,Female,DSL,0,58.55,3503.50,63,No,One year,3055-VTCGS,No,Yes,No,No,No,Credit card (automatic),Yes,Yes,No,No
Yes,Yes,Train,Male,Fiber optic,0,93.25,6669.45,71,No,Month-to-month,3144-KMTWZ,No,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,Yes,No,No
Yes,Yes,Test,Female,Fiber optic,1,113.20,4689.50,41,Yes,Month-to-month,7279-BUYWN,No,Yes,Yes,Yes,No,Electronic check,Yes,Yes,Yes,No
Yes,No,Train,Male,Fiber optic,1,90.50,1201.15,13,Yes,Month-to-month,7156-MHUGY,No,No,No,No,No,Electronic check,Yes,Yes,Yes,No
No,No,Train,Male,Fiber optic,0,79.00,143.65,2,Yes,Month-to-month,7198-GLXTC,No,No,No,No,No,Electronic check,Yes,No,Yes,No
Yes,No,Train,Female,No,0,19.35,1292.65,68,No,Two year,2007-QVGAW,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,DSL,0,48.75,48.75,1,No,Month-to-month,5207-PLSTK,Yes,No,No,Yes,Yes,Mailed check,Yes,No,No,No
Yes,Yes,Train,Male,Fiber optic,1,109.05,7108.20,65,No,Two year,2307-FYNNL,No,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes
Yes,Yes,Train,Male,No,1,25.00,1802.55,72,No,Two year,5605-XNWEN,No,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,DSL,0,54.90,1505.15,28,No,Month-to-month,2155-AMQRX,No,No,No,No,No,Credit card (automatic),Yes,No,No,Yes
No,Yes,Train,Male,No,0,24.75,1859.10,72,No,Two year,6181-AXXYF,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
Yes,No,Test,Female,Fiber optic,0,91.15,168.50,2,No,Month-to-month,5091-HFAZW,No,No,Yes,Yes,No,Electronic check,Yes,No,Yes,No
No,No,Train,Female,No,0,20.15,390.85,18,Yes,One year,0516-VRYBW,Yes,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,1,104.35,6339.45,60,No,One year,2519-LBNQL,No,Yes,Yes,No,Yes,Electronic check,Yes,Yes,Yes,No
Yes,Yes,Test,Female,DSL,1,66.05,1652.40,26,No,Month-to-month,8623-ULFNQ,No,No,No,No,No,Electronic check,Yes,Yes,No,Yes
Yes,No,Train,Male,Fiber optic,0,71.65,71.65,1,Yes,Month-to-month,8380-PEFPE,Yes,No,No,No,No,Electronic check,Yes,No,No,No
No,No,Train,Female,No,0,20.35,77.50,4,Yes,Month-to-month,5687-DKDTV,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,DSL,0,92.20,6392.85,68,No,Two year,1568-LJSZU,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,Yes,Yes
Yes,No,Train,Female,Fiber optic,0,84.25,3264.50,38,Yes,Month-to-month,7530-HDYDS,No,Yes,Yes,No,No,Credit card (automatic),Yes,No,No,Yes
Yes,Yes,Test,Female,Fiber optic,1,105.20,4599.15,42,No,One year,7789-HKSBS,No,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,No
Yes,No,Test,Female,No,0,19.60,1134.25,57,No,Two year,7416-CKTEP,No,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
No,No phone service,Train,Male,DSL,0,30.40,1621.35,54,No,Month-to-month,2586-CWXVV,No,No,Yes,No,Yes,Electronic check,No,No,No,No
No,No,Test,Female,Fiber optic,0,78.10,947.30,12,Yes,Month-to-month,3096-IZETN,No,No,No,No,No,Bank transfer (automatic),Yes,Yes,No,No
Yes,No,Train,Female,DSL,0,61.50,2722.20,44,No,One year,2348-KCJLT,No,Yes,Yes,Yes,Yes,Mailed check,Yes,No,No,No
Yes,Yes,Test,Male,DSL,0,69.40,3058.30,42,No,Month-to-month,8401-EMUWF,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,No
No,Yes,Test,Male,No,0,24.75,1769.60,72,No,Two year,4193-IBKSW,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
No,Yes,Train,Female,DSL,0,91.05,6293.75,71,No,Two year,5377-NDTOU,Yes,Yes,Yes,Yes,Yes,Mailed check,Yes,Yes,Yes,Yes
No,Yes,Train,Female,Fiber optic,0,89.65,1761.05,19,Yes,Month-to-month,5922-ABDVO,No,Yes,No,No,Yes,Mailed check,Yes,Yes,No,No
Yes,Yes,Train,Female,DSL,0,73.65,1642.75,23,No,Month-to-month,2474-LCNUE,No,No,No,No,Yes,Credit card (automatic),Yes,Yes,Yes,Yes
No,No,Train,Female,No,0,19.40,578.50,30,No,Two year,0839-QNXME,No,No internet service,No internet service,No internet service,No,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,Yes,Test,Male,No,0,26.20,954.90,35,No,One year,3506-OVLKD,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Test,Female,Fiber optic,0,98.70,973.25,10,Yes,Month-to-month,9172-ANCRX,No,No,No,Yes,No,Electronic check,Yes,Yes,Yes,No
Yes,No,Test,Male,DSL,0,43.85,43.85,1,No,Month-to-month,6650-VJONK,No,No,No,No,No,Bank transfer (automatic),Yes,No,No,No
Yes,No,Train,Male,Fiber optic,0,69.70,1490.40,22,No,Month-to-month,2178-PMGCJ,No,No,No,No,No,Mailed check,Yes,No,No,No
No,No phone service,Train,Male,DSL,0,38.55,280.00,7,No,Two year,7492-TAFJD,Yes,Yes,Yes,Yes,Yes,Mailed check,No,No,No,No
Yes,No phone service,Train,Female,DSL,0,53.10,1901.25,36,No,Two year,2773-MADBQ,No,Yes,Yes,Yes,No,Mailed check,No,Yes,No,Yes
No,No,Train,Female,No,0,20.65,716.40,34,No,Month-to-month,6016-LVTJQ,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
No,Yes,Train,Male,DSL,0,64.45,4720.00,72,No,Two year,7860-KSUGX,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No
No,Yes,Test,Male,No,0,25.10,930.95,36,No,Two year,8966-KZXXA,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,No,Train,Female,Fiber optic,0,76.35,76.35,1,Yes,Month-to-month,6910-HADCM,No,Yes,No,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Train,Female,Fiber optic,0,79.15,1676.95,23,Yes,Month-to-month,4816-LXZYW,No,No,Yes,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Test,Male,Fiber optic,1,85.00,2642.05,32,Yes,Month-to-month,9606-PBKBQ,No,No,No,No,Yes,Electronic check,Yes,Yes,No,No
Yes,Yes,Train,Female,Fiber optic,0,95.15,6770.85,71,No,One year,5149-QYTTU,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,Yes,Train,Female,Fiber optic,1,79.35,1835.30,23,No,Month-to-month,2070-XYMFH,No,Yes,No,No,No,Mailed check,Yes,No,No,No
Yes,No,Train,Male,Fiber optic,0,96.65,1588.25,17,No,One year,2085-BOJKI,No,Yes,No,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,No
Yes,No,Train,Male,DSL,0,75.50,75.50,1,No,Month-to-month,0817-HSUSE,No,Yes,No,No,No,Electronic check,Yes,Yes,Yes,Yes
No,No,Test,Male,No,0,19.70,258.35,12,No,Two year,5442-PPTJY,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
No,No,Train,Female,No,0,20.50,1502.25,72,No,Two year,1927-QEWMY,No,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,No,Train,Male,No,0,19.20,19.20,1,No,Month-to-month,1663-MHLHE,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,Yes,Test,Male,Fiber optic,1,98.35,6929.40,72,No,Two year,5663-QBGIS,No,No,Yes,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,No
No,Yes,Test,Male,Fiber optic,0,74.35,4453.30,60,No,Month-to-month,4450-MDZFX,Yes,No,No,No,Yes,Bank transfer (automatic),Yes,No,No,No
No,No phone service,Train,Female,DSL,0,51.35,3244.40,61,No,Two year,6701-DHKWQ,Yes,Yes,Yes,No,Yes,Credit card (automatic),No,No,Yes,Yes
No,No,Train,Female,DSL,0,45.65,323.45,6,No,Month-to-month,7554-AKDQF,No,No,No,No,Yes,Mailed check,Yes,No,No,No
No,Yes,Train,Male,Fiber optic,1,85.30,2661.10,32,Yes,Month-to-month,3536-IQCTX,No,No,No,No,Yes,Electronic check,Yes,Yes,No,No
Yes,Yes,Test,Female,Fiber optic,0,86.55,2697.40,31,Yes,Month-to-month,4911-BANWH,Yes,No,No,No,No,Credit card (automatic),Yes,No,Yes,No
Yes,No,Train,Male,Fiber optic,0,73.85,1424.50,19,Yes,Month-to-month,8496-EJAUI,No,No,Yes,No,No,Credit card (automatic),Yes,No,No,No
No,No,Train,Male,No,0,20.30,1401.15,72,No,Two year,0794-YVSGE,Yes,No internet service,No internet service,No internet service,Yes,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,DSL,0,54.20,1739.60,32,No,Month-to-month,5423-BHIXO,No,No,Yes,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Train,Male,Fiber optic,0,90.65,5931.00,65,No,Month-to-month,6908-VVYHM,No,No,Yes,No,Yes,Electronic check,Yes,Yes,No,No
Yes,No phone service,Train,Female,DSL,0,50.90,2333.85,45,No,Month-to-month,2959-EEXWB,Yes,No,No,Yes,Yes,Bank transfer (automatic),No,Yes,Yes,No
No,Yes,Train,Male,No,0,25.05,949.85,42,No,One year,1839-UMACK,No,No internet service,No internet service,No internet service,No,Electronic check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,0,74.85,572.45,8,No,Month-to-month,3030-YDNRM,No,No,No,No,No,Electronic check,Yes,No,No,No
No,No,Train,Male,No,0,20.50,696.80,32,No,Two year,7321-KKSDU,Yes,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Female,DSL,1,63.55,1381.80,22,No,Month-to-month,3402-XRIUO,No,No,Yes,Yes,Yes,Mailed check,Yes,No,No,Yes
Yes,No phone service,Test,Male,DSL,1,44.85,2572.95,57,Yes,Month-to-month,3132-TVFDZ,No,No,No,No,Yes,Electronic check,No,Yes,Yes,No
No,No,Train,Male,DSL,0,47.95,47.95,1,No,Month-to-month,8286-AFUYI,No,No,No,Yes,No,Electronic check,Yes,No,No,No
No,No,Train,Male,DSL,1,45.10,45.10,1,Yes,Month-to-month,8080-DDEMJ,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,No,Train,Female,DSL,0,45.00,45.00,1,No,Month-to-month,8356-WUAOJ,No,No,No,No,Yes,Electronic check,Yes,No,No,No
Yes,No,Train,Male,Fiber optic,0,96.00,2122.45,24,Yes,Month-to-month,6365-MTGZX,No,No,No,No,No,Electronic check,Yes,Yes,Yes,Yes
No,No,Train,Male,No,0,20.05,20.05,1,Yes,Month-to-month,1349-WXNGG,No,No internet service,No internet service,No internet service,No,Bank transfer (automatic),Yes,No internet service,No internet service,No internet service
Yes,Yes,Train,Male,Fiber optic,1,90.05,4931.80,54,No,Month-to-month,8058-DMYRU,No,No,Yes,No,No,Electronic check,Yes,Yes,No,No
Yes,Yes,Train,Female,No,0,25.30,116.95,4,No,Two year,9350-ZXYJC,No,No internet service,No internet service,No internet service,No,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,Yes,Train,Male,Fiber optic,0,108.65,6937.95,65,Yes,Two year,6990-YNRIO,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes
No,Yes,Train,Female,No,0,24.30,1261.70,56,No,One year,8958-JPTRR,No,No internet service,No internet service,No internet service,Yes,Electronic check,Yes,No internet service,No internet service,No internet service
Yes,No,Test,Male,DSL,0,75.95,3273.80,45,No,Month-to-month,6959-GQEGV,No,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,No
No,No,Train,Female,No,0,19.70,1415.85,71,No,Two year,3173-WSSUE,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,No,Train,Male,DSL,0,66.40,3958.20,59,No,One year,1265-HVPZB,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,Yes,No
Yes,No phone service,Train,Male,DSL,0,35.75,2492.25,69,No,One year,4115-UMJFQ,No,Yes,Yes,No,No,Bank transfer (automatic),No,No,No,No
No,No,Train,Male,No,0,18.80,279.20,19,No,One year,7369-TRPFD,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
No,No,Test,Female,No,0,19.40,1083.00,55,No,Two year,1098-KFQEC,Yes,No internet service,No internet service,No internet service,Yes,Credit card (automatic),Yes,No internet service,No internet service,No internet service
No,No,Test,Female,No,0,19.30,755.50,38,No,One year,7190-XHTWJ,No,No internet service,No internet service,No internet service,No,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Male,DSL,0,45.55,402.60,10,Yes,Month-to-month,0621-TWIEM,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,Yes,Train,Female,DSL,1,67.45,3252.00,47,No,Month-to-month,3537-RYBHH,No,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No
Yes,No phone service,Test,Female,DSL,0,35.10,68.75,2,Yes,Month-to-month,2485-ITVKB,No,No,No,No,Yes,Electronic check,No,Yes,No,No
No,No,Test,Male,DSL,0,46.20,46.20,1,Yes,Month-to-month,3669-OYSJI,No,No,No,No,No,Credit card (automatic),Yes,No,No,No
No,No,Train,Female,DSL,0,45.15,45.15,1,Yes,Month-to-month,1612-EOHDH,No,No,No,No,No,Electronic check,Yes,No,No,No
Yes,No phone service,Train,Male,DSL,1,43.30,43.30,1,Yes,Month-to-month,6702-OHFWR,No,Yes,Yes,No,No,Electronic check,No,Yes,No,No
Yes,No,Train,Male,No,0,20.10,936.85,46,No,Two year,5296-BFCYD,Yes,No internet service,No internet service,No internet service,Yes,Mailed check,Yes,No internet service,No internet service,No internet service
Yes,No,Train,Female,DSL,1,57.15,2250.65,38,Yes,Month-to-month,4510-PYUSH,No,No,Yes,Yes,No,Credit card (automatic),Yes,No,No,No
No,No,Train,Female,DSL,0,58.90,3857.10,65,No,Two year,9359-JANWS,No,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,No,Yes
Yes,No,Train,Female,Fiber optic,0,73.20,1441.10,19,Yes,Month-to-month,7517-SAWMO,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No
